Player,Player ID,Country,Player Role,Role Detail,Birth Date,Birth Place,Height,Batting Style,Bowling Style,Team Name,Team ID
Kiran Navgire,26143,India,Batter,Batsman,1994-09-18,"Pune, Maharashtra",--,Right Handed Bat,,UP Warriorz Women,66687
Arushi Goel,40570,India,Batter,Batsman,1997-09-26,--,--,Right Handed Bat,Right-arm medium,UP Warriorz Women,66687
Vrinda Dinesh,22211,India,Batter,Batsman,"February 03, 2001",--,--,Right Handed Bat,Right-arm legbreak,UP Warriorz Women,66687
Grace Harris,11101,Australia,Batting Allrounder,Batting Allrounder,1993-09-18,--,--,Right Handed Bat,Right-arm offbreak,UP Warriorz Women,66687
Chamari Athapaththu,9149,Sri Lanka,Batting Allrounder,Batting Allrounder,1990-02-09,Gokarella,--,Left Handed Bat,Right-arm offbreak,UP Warriorz Women,66687
Shweta Sehrawat,36620,India,Batting Allrounder,Batting Allrounder,2004-02-26,--,--,Right Handed Bat,Right-arm offbreak,UP Warriorz Women,66687
Deepti Sharma,11098,India,Batting Allrounder,Batting Allrounder,1997-08-24,"Agra, Uttar Pradesh",--,Left Handed Bat,Right-arm offbreak,UP Warriorz Women,66687
Tahlia McGrath,11956,Australia,Batting Allrounder,Batting Allrounder,1995-11-10,--,--,Right Handed Bat,Right-arm medium,UP Warriorz Women,66687
Chinelle Henry,9993,West Indies,Batting Allrounder,Batting Allrounder,1995-08-17,--,--,Right Handed Bat,Right-arm fast-medium,UP Warriorz Women,66687
Kranti Goud,1448841,India,Bowling Allrounder,Bowling Allrounder,2003-08-11,--,20,Right Handed Bat,Right-arm fast,UP Warriorz Women,66687
Poonam Khemnar,40871,India,Bowling Allrounder,Bowling Allrounder,1994-09-05,--,--,Right Handed Bat,Right-arm legbreak,UP Warriorz Women,66687
Saima Thakor,13960,India,Bowling Allrounder,Bowling Allrounder,1996-09-13,"Mumbai, Maharashtra",--,Right Handed Bat,Right-arm fast-medium,UP Warriorz Women,66687
Uma Chetry,40584,India,WK-Batter,WK-Batsman,2002-07-27,--,--,Right Handed Bat,,UP Warriorz Women,66687
Sophie Ecclestone,11531,England,Bowler,Bowler,1999-05-06,"Chester, Cheshire",--,Right Handed Bat,Left-arm orthodox,UP Warriorz Women,66687
Alana King,12002,Australia,Bowler,Bowler,1995-11-22,--,--,Right Handed Bat,Right-arm legbreak,UP Warriorz Women,66687
Anjali Sarvani,16199,India,Bowler,Bowler,"July 28, 1997","Kurnool, Andhra Pradesh",--,Left Handed Bat,Left-arm medium,UP Warriorz Women,66687
Gouher Sultana,9079,India,Bowler,Bowler,1988-03-31,"Hyderabad, Andhra Pradesh",--,Right Handed Bat,Left-arm orthodox,UP Warriorz Women,66687
Rajeshwari Gayakwad,11094,India,Bowler,Bowler,1991-06-01,"Bijapur, Karnataka",--,Right Handed Bat,Left-arm orthodox,UP Warriorz Women,66687
Meg Lanning,9114,Australia,Batter,Batsman,1992-03-25,Singapore,--,Right Handed Bat,Right-arm medium,Delhi Capitals Women,66690
Jemimah Rodrigues,13517,India,Batter,Batsman,2000-09-05,"Bhandup, Mumbai",--,Right Handed Bat,Right-arm offbreak,Delhi Capitals Women,66690
Alice Capsey,19417,England,Batter,Batsman,2004-08-11,--,--,Right Handed Bat,Right-arm offbreak,Delhi Capitals Women,66690
Sneha Deepthi,39433,India,Batting Allrounder,Batting Allrounder,1996-09-10,"Visakhapatnam, Andhra Pradesh",--,Right Handed Bat,Right-arm offbreak,Delhi Capitals Women,66690
Shafali Verma,14825,India,Batting Allrounder,Batting Allrounder,2004-01-28,"Rohtak, Haryana",--,Right Handed Bat,Right-arm offbreak,Delhi Capitals Women,66690
Minnu Mani,14486,India,Batting Allrounder,Batting Allrounder,1999-03-24,"Wayanad, Kerala",--,Left Handed Bat,Right-arm offbreak,Delhi Capitals Women,66690
Niki Prasad,40773,India,Batting Allrounder,Batting Allrounder,2005-10-25,--,--,Right Handed Bat,Right-arm offbreak,Delhi Capitals Women,66690
Marizanne Kapp,9182,South Africa,Bowling Allrounder,Bowling Allrounder,1990-01-04,"Port Elizabeth, Cape Province",--,Right Handed Bat,Right-arm medium,Delhi Capitals Women,66690
Annabel Sutherland,12211,Australia,Bowling Allrounder,Bowling Allrounder,2001-10-12,--,--,Right Handed Bat,Right-arm fast-medium,Delhi Capitals Women,66690
Shikha Pandey,10015,India,Bowling Allrounder,Bowling Allrounder,1989-05-12,"Karimnagar, Telengana",--,Right Handed Bat,Right-arm medium,Delhi Capitals Women,66690
Nandini Kashyap,40605,India,WK-Batter,WK-Batsman,2003-09-13,"Dehradun, Uttarakhand",--,Right Handed Bat,,Delhi Capitals Women,66690
